,AUC,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6196451676646854,0.6110108449994309,0.11448208548537964,0.5669687814702921,0.1904987480544089
Random Forest,0.7435896583666407,0.9163455441197991,0.3920863309352518,0.06586102719033232,0.11277806518365235
LightGBM,0.7611959616712082,0.7581256198884607,0.18925189690850944,0.6078549848942598,0.2886381025248661
